SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2300 Old Spanish Trl #1039,Houston,TX,77054,189999,2,2.0,Riverwalk Condo,1019,,1983,4,186,469,Active,,,https://www.redfin.com/TX/Houston/2300-Old-Spanish-Trl-77054/unit-1039/home/30573894,HARMLS,21317181,N,Y,29.6980783,-95.3895314
MLS Listing,,Condo/Co-op,1711 Old Spanish Trl #140,Houston,TX,77054,210000,1,1.0,Valencia Condos,799,,2005,4,263,498,Active,,,https://www.redfin.com/TX/Houston/1711-Old-Spanish-Trl-77054/unit-140/home/29520761,HARMLS,7680880,N,Y,29.6957197,-95.4037016
MLS Listing,,Single Family Residential,7944 Betty Boop St,Houston,TX,77028,99000,2,1.0,Liberty Road Manor Sec 07 U/r,902,4000,1940,4,110,,Active,,,https://www.redfin.com/TX/Houston/7944-Betty-Boop-St-77028/home/29734612,HARMLS,53398530,N,Y,29.8237436,-95.2822804
MLS Listing,,Single Family Residential,5027 Cosby St,Houston,TX,77021,209900,3,2.0,Macgregor Terrace Sec 01,1527,6380,1950,4,137,,Active,,,https://www.redfin.com/TX/Houston/5027-Cosby-St-77021/home/30036172,HARMLS,81183800,N,Y,29.6930796,-95.3422589
MLS Listing,,Single Family Residential,3806 Rebecca St,Houston,TX,77021,140000,2,1.0,South End Sunnyside Add,744,5000,1950,4,188,,Active,,,https://www.redfin.com/TX/Houston/3806-Rebecca-St-77021/home/182957916,HARMLS,59405621,N,Y,29.6816471,-95.3689412
MLS Listing,,Condo/Co-op,5625 Antoine Dr #1212,Houston,TX,77091,55500,2,1.5,Oakwood Gardens Condo,1025,398376,1972,4,54,465,Active,,,https://www.redfin.com/TX/Houston/5625-Antoine-Dr-77091/unit-1212/home/29637946,HARMLS,86514214,N,Y,29.8482983,-95.47517
MLS Listing,,Condo/Co-op,419 Marshall St #7,Houston,TX,77006,149900,1,1.0,Marshall Condo,612,9450,1970,5,245,201,Active,,,https://www.redfin.com/TX/Houston/419-Marshall-St-77006/unit-7/home/30400512,HARMLS,97535783,N,Y,29.7400729,-95.3828737
MLS Listing,,Single Family Residential,9318 Linda Vista Rd,Houston,TX,77078,189900,4,2.5,Chatwood Place Sec 06,1437,8840,1964,5,132,,Active,,,https://www.redfin.com/TX/Houston/9318-Linda-Vista-Rd-77078/home/30127184,HARMLS,42126578,N,Y,29.8379754,-95.2491086
MLS Listing,,Single Family Residential,406 Gammon Dr,Houston,TX,77022,220000,3,1.0,Glenburnie Sec 01,1180,7560,1955,5,186,,Active,,,https://www.redfin.com/TX/Houston/406-Gammon-Dr-77022/home/30062058,HARMLS,33476000,N,Y,29.8391116,-95.3945891
MLS Listing,,Single Family Residential,2911 Burkett St,Houston,TX,77004,99000,1,1.0,Booker T Washington,580,1650,1936,5,171,,Active,,,https://www.redfin.com/TX/Houston/2911-Burkett-St-77004/home/29809479,HARMLS,79136378,N,Y,29.7323662,-95.3560366
