Property URL,MLS ID,Listing description,Property type,Number of days on Zillow,Property price (USD),Price was cut,Price cut amount (USD),Price cut date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Bedrooms,Bathrooms,Broker name,Broker agent,Street address,City,Zip,State,Country
https://www.zillow.com/homedetails/2716-Arabelle-Grv-Houston-TX-77007/112161005_zpid/,,House for sale,Single Family,,575000,No,,,2873,sqft,200.14,1393.92,sqft,3,5,Steel Door Realty,,2716 Arabelle Grv,Houston,77007,TX,USA
https://www.zillow.com/homedetails/2507-Rustic-Trail-Ln-Richmond-TX-77469/65717461_zpid/,,House for sale,Single Family,,306000,Yes,4000,06/09/2023,1871,sqft,163.55,7801.6,sqft,3,2,Keller Williams Realty -SW,,2507 Rustic Trail Ln,Richmond,77469,TX,USA
https://www.zillow.com/homedetails/1255-Witte-Rd-17-Houston-TX-77055/28122053_zpid/,,Condo for sale,Condominium,,195000,Yes,4000,05/22/2023,1560,sqft,125,1.94,acres,3,3,JPAR - The Sears Group,,1255 Witte Rd #17,Houston,77055,TX,USA
https://www.zillow.com/homedetails/14826-Armitage-Ln-Sugar-Land-TX-77498/27570372_zpid/,,House for sale,Single Family,12,360000,No,,,2559,sqft,140.68,10079.78,sqft,3,3,Keller Williams Realty - Memor,,14826 Armitage Ln,Sugar Land,77498,TX,USA
https://www.zillow.com/homedetails/21703-Cozy-Hollow-Ln-Richmond-TX-77469/82722637_zpid/,,House for sale,Single Family,,435000,No,,,3552,sqft,122.47,7718.83,sqft,4,4,Nest Finders,,21703 Cozy Hollow Ln,Richmond,77469,TX,USA
https://www.zillow.com/homedetails/9609-Fannin-Sta-E-Houston-TX-77045/2116255402_zpid/,,Townhouse for sale,Townhouse,,385000,No,,,2120,sqft,181.6,945,sqft,3,4,BHGRE Gary Greene,,9609 Fannin Sta E,Houston,77045,TX,USA
https://www.zillow.com/homedetails/6731-Arlington-Dr-Manvel-TX-77578/250632666_zpid/,,House for sale,Single Family,14,350000,No,,,2125,sqft,164.71,9918.61,sqft,4,2,RE/MAX Space Center-Clear Lake,,6731 Arlington Dr,Manvel,77578,TX,USA
https://www.zillow.com/homedetails/5623-Vintage-Oaks-Ln-Manvel-TX-77578/2067678809_zpid/,,House for sale,Single Family,,550000,No,,,2841,sqft,193.59,5998.21,sqft,4,3,Realty Associates,,5623 Vintage Oaks Ln,Manvel,77578,TX,USA
https://www.zillow.com/homedetails/9901-Sharpcrest-St-APT-A5-Houston-TX-77036/28269091_zpid/,,Townhouse for sale,Townhouse,26,175000,No,,,1406,sqft,124.47,770,sqft,2,3,The Nguyens & Associates,,9901 Sharpcrest St APT A5,Houston,77036,TX,USA
https://www.zillow.com/homedetails/12530-Sharpview-Dr-Houston-TX-77072/28294696_zpid/,,House for sale,Single Family,17,275000,No,,,2432,sqft,113.08,7348.57,sqft,4,3,"Real Broker, LLC",,12530 Sharpview Dr,Houston,77072,TX,USA
https://www.zillow.com/homedetails/20622-Arrow-Falls-Ln-Richmond-TX-77407/122504988_zpid/,,House for sale,Single Family,4,445500,No,,,2973,sqft,149.85,7762.39,sqft,5,4,"eXp Realty, LLC",,20622 Arrow Falls Ln,Richmond,77407,TX,USA
https://www.zillow.com/homedetails/12660-Ashford-Point-Dr-APT-612-Houston-TX-77082/28481614_zpid/,,Condo for sale,Condominium,4,100000,No,,,829,sqft,120.63,3.88,acres,2,2,Energy Realty,,12660 Ashford Point Dr APT 612,Houston,77082,TX,USA
https://www.zillow.com/homedetails/2323-W-Main-St-305-Houston-TX-77098/2060828635_zpid/,,New construction,Unknown,,1129000,No,,,1632,sqft,691.79,,,2,3,Douglas Elliman Real Estate,,2323 W Main St #305,Houston,77098,TX,USA
https://www.zillow.com/homedetails/4355-Galesburg-St-Houston-TX-77051/338063073_zpid/,,New construction,Unknown,4,329900,No,,,1879,sqft,175.57,2500.34,sqft,3,3,CJM Realty Advisors,,4355 Galesburg St,Houston,77051,TX,USA
